iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.4861648148708789,0.10209227663903253,0.5623757318620468,0.05118068544014221,0.6182020804584388,0.012508571921892446,0.5996937971247165,0.008945060449501779
1,0.565002574930477,0.07905358506335886,0.6015057248798857,0.05667859587093006,0.5617749115642625,0.018008705221069534,0.5455203847300003,0.01058777984619373
2,0.5585149905203444,0.07351513696930789,0.6020703371036239,0.060989973501719946,0.5378199068089734,0.02336815694477901,0.5136443383641548,0.008391821829041178
3,0.5392442210451283,0.04766051238209082,0.5885829206363636,0.05827545588502831,0.5233269275415873,0.025064020828547435,0.487061199943695,0.016364772000691866
4,0.5752509777894146,0.06415854568044194,0.6189397402742666,0.04750736112728563,0.5126690831710583,0.03136111012172246,0.47215711952236566,0.01584069767909515
5,0.5815625410505803,0.06558328681872237,0.6245095041312421,0.035612458181264135,0.5003972730612436,0.03328431199544394,0.4598238518220599,0.015319987620145458
6,0.6135448250436688,0.07583467228375905,0.6390466896943966,0.034453055869239656,0.4932557276044662,0.03754809867149048,0.4469240690142004,0.013519106488147647
7,0.6034611014641885,0.1031811354111108,0.6449033090364498,0.04381356160657733,0.48643268172790394,0.04108248286524519,0.4393718532595252,0.01434433913902259
8,0.6139735850084901,0.1008206947823562,0.6623506051033907,0.030070005114009226,0.4856413436392842,0.041387644411238274,0.43145656281045097,0.013767123936275005
9,0.6154622788856199,0.09979556830468282,0.6632285528405613,0.04176968129223966,0.48252567530406265,0.04493293670243693,0.4238424638213413,0.015189045382730387
10,0.6214389800822369,0.09189902658575883,0.6725165969926805,0.03823720110358215,0.47769070136349007,0.04604080782110261,0.41769926413746283,0.014385581091537855
11,0.6317906948043934,0.08515910919027095,0.6834928093313911,0.031475276217338304,0.47340408952224805,0.04901773714090307,0.410943847988215,0.012295314319345794
12,0.6290029034080945,0.08891508641077486,0.6900161801372242,0.026014714139248413,0.47193450108832397,0.051268776063992716,0.4057296270252747,0.012070878493903587
13,0.6313402633402634,0.08668103329867653,0.6982081947315308,0.03175262939926006,0.47165678298125624,0.0545059923956853,0.4013434232360565,0.012328530450146728
14,0.6284138342220535,0.0690399440176738,0.6989512894889417,0.03336757334050668,0.4675085730874862,0.0543531513804345,0.39769459393940426,0.012129073012915062
15,0.6237497415579607,0.09038796982515754,0.7062159851614216,0.024793645292794292,0.46476218660030755,0.05739483000056583,0.3935220722667073,0.011843046600205276
16,0.6409431548984541,0.07139026339451635,0.7095289407873665,0.025813235384650943,0.4609595253778925,0.05680620524602556,0.3886618200592612,0.012919775711041253
17,0.6464307199649666,0.07347805047033415,0.717053353137994,0.02990979012771841,0.4607827481123282,0.05892526696494077,0.3850994208019242,0.012080999367719116
18,0.641277387756261,0.08435880835708334,0.7205807402393564,0.023994887582187135,0.45964942838754486,0.05818404500011462,0.3808971571178123,0.012361034445082105
19,0.639112116407891,0.09482351501965927,0.7241812539236868,0.02459754733422468,0.46135956079716206,0.05989109715172979,0.3776555303644863,0.012660502633421594
20,0.6523115337930666,0.08237608325173365,0.7257796732641593,0.02386861313755504,0.4587633507416159,0.056197989226820975,0.37406144431236654,0.013174342299492318
21,0.6501382591655742,0.09059911739028303,0.7349822656741333,0.022116817783100613,0.4596002651984942,0.055637672607827045,0.3689205845614022,0.013079488895975861
22,0.6574502194502194,0.0968341980405356,0.7420191958080694,0.02920331446030166,0.4578245622032361,0.06014108797026194,0.3651869371388327,0.013322758070571854
23,0.6666119101187594,0.0876989487501856,0.7447147531065816,0.023876461633537602,0.45611697291721615,0.060303571015148306,0.3615505250611135,0.013125434955048955
24,0.6596685141342676,0.08695172955060407,0.7491396535380017,0.021233100455918703,0.45568725611697947,0.061239446542978526,0.35879905881359114,0.012886306705230817
25,0.6580035124692659,0.08727778972724762,0.7488395594515318,0.02602213517649433,0.45755782992045313,0.06172804458539154,0.35554496719556156,0.01238983669155943
26,0.6555042735042734,0.0951008169695085,0.7516223260975207,0.02159525862494937,0.4591788093861364,0.06542714299225703,0.35343456672261564,0.011901567052150765
27,0.6668159740906677,0.07441663870570452,0.7591116280142002,0.02238548873472413,0.45893475234961356,0.0650413339440259,0.35079853652556087,0.011801970619762098
28,0.6701878121878122,0.06635850262297933,0.7620725410087381,0.014518343390159203,0.46074516638920615,0.07180118847351093,0.3474028303718894,0.011255868678146742
29,0.6667125506072875,0.06593843518669992,0.7664581409333857,0.012991467379942246,0.46068505640566604,0.07010323753459193,0.34508236642632173,0.010285315724518875
30,0.6621152866766902,0.07173096352375374,0.7705915819608169,0.020377120216665195,0.4592297043948405,0.0701840363588528,0.3424974574774375,0.011478435875441007
31,0.6638603865270533,0.06445124959611641,0.7702842455136041,0.01628803488839908,0.4598315340196447,0.06955794087076879,0.3403725021311552,0.011438960996119477
32,0.6602292016926163,0.06941471920698555,0.7716396120323878,0.01610179059506496,0.4612497537439831,0.06919337795441434,0.3378239277012369,0.01145997716222146
33,0.660172145404213,0.06946936675432461,0.7752919086204356,0.017762921183916442,0.462941733310182,0.07007975806701572,0.33601093324493375,0.011059399186505161
34,0.650237795959315,0.0741720407148067,0.7833098268854988,0.016282823998187677,0.4627650294545595,0.06854092740553899,0.33276085407190725,0.011693150829343803
35,0.651894247214034,0.07090081330201323,0.7811071583942246,0.013224418845214844,0.46194212468349727,0.0694994852739122,0.3311754499640945,0.012165040205069493
36,0.6484328629398584,0.06847898799837253,0.7840783425217829,0.009449662866999237,0.4632122975343078,0.06754800194591616,0.3289777630761412,0.011497104619781639
37,0.6519405162738497,0.05994913218103044,0.7886413967899899,0.01664348813227831,0.46309590591516425,0.06808648177561721,0.32622284178631367,0.011421838542638275
38,0.6519405162738497,0.05994913218103044,0.7911890068501147,0.01698865805685418,0.4648181407400479,0.06778916095543913,0.3243910127648698,0.011216097697283992
39,0.6548304684269597,0.07639500437607838,0.7951335245782658,0.014779446715912236,0.4652798697610855,0.06866680568416693,0.32246151944445783,0.011199037786355196
40,0.6513610834314703,0.06837276634416785,0.7953940240305151,0.014317591020120379,0.4661562804009326,0.06604893902696508,0.32081890637497235,0.01109136878557595
41,0.6596704931376126,0.06282541546108128,0.8008229637568395,0.014906243803305467,0.4668841720575473,0.0655060724046395,0.3187193500935235,0.011284459231451074
42,0.655911094641372,0.06962068358304901,0.8020728554116138,0.018038012348514834,0.46815264799533074,0.06616766504850538,0.31684409975038036,0.011769097735166989
43,0.6493601960832696,0.061002715370638026,0.803646985025185,0.016784278174994675,0.4699712863963348,0.06802372485566387,0.3145661652613608,0.011658541661032614
44,0.6510723216000673,0.0639033643443503,0.8052836850987418,0.015245718854222566,0.4708498335298607,0.07037957883242198,0.31252209790381336,0.012113834318128057
45,0.6581192491718808,0.06920690352529789,0.8087870927691319,0.014043806216720802,0.47173601079704525,0.07328899439680164,0.31031402303781946,0.012338343697866504
46,0.656735392689743,0.07599425677347452,0.8088225919045913,0.012480731830156017,0.46930071188044425,0.07910177627883548,0.30827983083291743,0.01255590170918415
47,0.666206478282693,0.07400251751842014,0.8102647614440068,0.016399980292989495,0.46844946139334775,0.07928026465768952,0.3060003870509962,0.01214129795554242
48,0.6511926329952471,0.07688629291489021,0.8135873131631717,0.014461141884069502,0.47126915802868546,0.08084405743349839,0.30467893819474734,0.011765208915058374
49,0.649359443182228,0.08588321882718164,0.8206425168984877,0.013852106750730791,0.4725758902980739,0.07880632837931323,0.3034327552553111,0.01179407510640456
50,0.6509311321154917,0.08546813116510421,0.8206025941024071,0.012983130341406083,0.47316946632142864,0.08088696110358315,0.30191339469821604,0.01096031769988868
51,0.6528463513380074,0.08395949270285792,0.8232302078123949,0.01430027277973477,0.4746722070661141,0.08101611660655933,0.29985115830257564,0.010610479702358596
52,0.6527153239868614,0.0941337106222085,0.8252578197567988,0.01529559339593275,0.4755074175534337,0.08207119280262258,0.2981761481652797,0.010593654082364673
53,0.6407761478519448,0.09706730689198158,0.8250723339163857,0.014569147008162633,0.47567595592746204,0.08115736828922449,0.29644519686923976,0.011030336357032789
54,0.6440460486828212,0.08975039878225885,0.8261061533169161,0.015148002913370932,0.47469992213448997,0.08029747454849649,0.29452563761314615,0.012104228819429954
55,0.6468006270094624,0.10005753770456358,0.8260038070988222,0.01468055259304801,0.4749286783954643,0.08046051348804951,0.29244373743320945,0.012122787694912915
56,0.6520836381965107,0.10166464447487435,0.8320778855866429,0.013578245831426658,0.47462463665080923,0.0818435594638956,0.29086700871590254,0.011870314309125152
57,0.6434076644602961,0.10152805229989569,0.8322759300776484,0.01647589737331583,0.4730780157474127,0.08370791758237943,0.2893494264904327,0.01157179599083439
58,0.6467940404649265,0.09449430556602159,0.8350365565657805,0.016255640468513757,0.4754062954935396,0.08415572737452465,0.28760980667651925,0.012132634922116622
59,0.6454188381899225,0.09193974735083416,0.8402534352493107,0.014295318130447123,0.4759203468934965,0.08505080424368631,0.2859427816934184,0.011863337012527179
60,0.6489891075829768,0.08955284569422425,0.8412858784125872,0.013850596038567626,0.4742744595151316,0.08371947571760868,0.2844763034315035,0.01161351134839501
61,0.6462734788247365,0.09326023721116222,0.8410164348534547,0.011317818176476325,0.47500148411016135,0.07966212562618118,0.2822974005879665,0.011466835622349965
62,0.6449064248261035,0.09548187066188771,0.8429745201405051,0.014089375842776244,0.4748168607213282,0.07996805544863336,0.2810102915205324,0.011224953625791869
63,0.6418525262889183,0.0952723725326065,0.8435041217527488,0.013663235547481856,0.4777933376849936,0.07902157653433907,0.2796179961603441,0.011445223047693426
64,0.6489987153922041,0.08799443517139527,0.8444389901903065,0.007756362945032145,0.47947974350002126,0.08094114594026335,0.27809291873575975,0.011594530186185056
